impact_id,field_name,present_in_gate9_rc51,freeze_impact,requiredness_for_sidewall_descriptor,compatibility_class,breaking_change_if_sidewall_aware_without_field,recommendation
G10B-FREEZE-001,geometry_descriptor_id,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-002,geometry_descriptor_sha256,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-003,sidewall_angle_convention,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-004,sidewall_deg_comsol,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-005,sidewall_taper_angle_deg_nodi,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-006,angle_conversion_formula_id,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-007,W_top_nm,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-008,W_top_semantics,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-009,runtime_top_aperture_nm,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-010,D_nm,false,missing_review_optional_or_future_gate,recommended,addendum-only,false,ADDENDUM_RECOMMENDED_OR_FUTURE_GATE_ONLY
G10B-FREEZE-011,depth_nm,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-012,W_bottom_unclipped_nm,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-013,W_bottom_runtime_clipped_nm,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-014,closure_status,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-015,closure_policy,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-016,runtime_guard_status,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-017,min_aperture_descriptor_nm,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-018,cross_section_geometry_version,false,missing_required_for_sidewall_aware_ingestion,required,addendum-only,true,ADDENDUM_REQUIRED_FAIL_CLOSED_FOR_SIDEWALL_AWARE_ROWS
G10B-FREEZE-019,geometry_claim_level,false,missing_review_optional_or_future_gate,recommended,addendum-only,false,ADDENDUM_RECOMMENDED_OR_FUTURE_GATE_ONLY
G10B-FREEZE-020,geometry_surrogate_status,false,missing_review_optional_or_future_gate,recommended,addendum-only,false,ADDENDUM_RECOMMENDED_OR_FUTURE_GATE_ONLY
